Paises,Goles Metidos,Goles Encajados,Tiros a Puerta,Penaltis Lanzados,Posesion por Partido,Entradas/Lances Ganados,Entrenador
 Italy ,13,4,127,34,54,48,Roberto Mancini
 England ,11,-1,63,2,51,52,Gareth Southgate
 Ukraine ,6,10,51,0,49,47,Andriy Shevchenko
 Czech Republic ,6,4,56,0,48,47,Jaroslav Šilhavý
 Belgium ,9,3,48,0,53,52,Roberto Martínez
 Switzerland ,8,9,67,6,47,53,Vladimir Petković
 Sweden ,5,4,41,0,33,44,Jan Andersson
 France ,7,6,56,4,53,54,Didier Deschamps
 Croatia ,7,8,42,0,49,50,Zlatko Dalić
 Netherlands ,8,4,52,0,54,52,Frank de Boer
 Wales ,3,6,39,0,37,47,Rob Page
 Portugal ,7,7,51,0,54,54,Fernando Santos
 Germany ,6,7,49,0,62,46,Joachim Löw
 Slovakia ,2,7,24,0,45,49,Štefan Tarkovič
 Finland ,1,3,19,0,36,46,Markku Kanerva
 Russia ,2,7,25,0,42,51,Stanislav Cherchesov
 North Macedonia ,2,8,33,0,41,47,Igor Angelovski
 Spain ,13,6,115,23,73,52,Luis Enrique
 Hungary ,3,6,19,0,29,44,Marco Rossi
 Denmark ,12,7,92,0,53,52,Kasper Hjulmand
 Turkey ,1,8,40,0,49,46,Şenol Güneş
 Poland ,4,6,40,0,49,54,Paulo Sousa
 Scotland ,1,5,41,0,43,49,Steve Clarke
 Austria ,5,5,53,0,53,51,Franco Foda
